customer_id,invoice_id,payment_id,customer_segment,credit_limit,invoice_date,due_date,payment_term_days,invoice_amount,amount_paid,balance_due,invoice_status,late_payment,payment_date,payment_amount
CUST-000025,INV-0000001,PAY-0000001,Enterprise,289034.44,2024-01-04,2024-02-18,45,54.79,54.79,0.0,Paid,False,2024-02-16,54.79
CUST-000045,INV-0000002,PAY-0000002,Enterprise,159350.88,2024-01-01,2024-03-01,60,39.55,39.55,0.0,Paid,False,2024-03-01,39.55
CUST-000045,INV-0000002,PAY-0576222,Enterprise,159350.88,2024-01-01,2024-03-01,60,39.55,39.55,0.0,Paid,False,2024-03-01,39.55
CUST-000054,INV-0000003,PAY-0000003,Enterprise,198997.42,2024-01-01,2024-03-01,60,3489.91,3489.91,0.0,Paid,False,2024-02-23,3489.91
CUST-000068,INV-0000004,PAY-0000004,Mid-Market,30888.02,2024-01-03,2024-02-02,30,192.68,192.68,0.0,Paid,False,2024-01-28,192.68
CUST-000088,INV-0000005,PAY-0000005,Enterprise,464814.38,2024-01-05,2024-02-19,45,165.83,165.83,0.0,Paid,True,2024-02-28,165.83
CUST-000089,INV-0000006,PAY-0000006,Enterprise,201497.87,2024-01-05,2024-01-20,15,168.42,168.42,0.0,Paid,False,2024-01-17,168.42
CUST-000089,INV-0000007,PAY-0000007,Enterprise,201497.87,2024-01-02,2024-01-17,15,547.03,547.03,0.0,Paid,False,2024-01-09,547.03
CUST-000111,INV-0000008,PAY-0000008,Enterprise,461365.84,2024-01-05,2024-02-19,45,1340.15,1340.15,0.0,Paid,False,2024-02-09,1340.15
CUST-000142,INV-0000009,PAY-0000009,Mid-Market,72688.53,2024-01-02,2024-02-01,30,391.87,391.87,0.0,Paid,True,2024-02-03,391.87
CUST-000144,INV-0000010,PAY-0000010,Mid-Market,15595.81,2024-01-02,2024-02-16,45,3542.67,3542.67,0.0,Paid,False,2024-02-08,3542.67
CUST-000202,INV-0000011,PAY-0000011,Small Business,5939.23,2024-01-07,2024-02-06,30,204.12,204.12,0.0,Paid,False,2024-02-04,204.12
CUST-000230,INV-0000012,PAY-0000012,Enterprise,445650.89,2024-01-07,2024-02-06,30,2678.99,2678.99,0.0,Paid,False,2024-02-03,2678.99
