invoice_id,sales_order_id,customer_id,product_id,customer_segment,credit_limit,invoice_date,due_date,invoice_amount,amount_paid,balance_due,invoice_status,subtotal,discount_total,unit_price
INV-0000001,SO-0000004,CUST-000025,PROD-001163,Enterprise,289034.44,2024-01-04,2024-02-18,54.79,54.79,0.0,Paid,36.99,5.73,7.12
INV-0000002,SO-0000005,CUST-000045,PROD-000545,Enterprise,159350.88,2024-01-01,2024-03-01,39.55,39.55,0.0,Paid,24.44,4.16,7.15
INV-0000003,SO-0000007,CUST-000054,PROD-001009,Enterprise,198997.42,2024-01-01,2024-03-01,3489.91,3489.91,0.0,Paid,3489.91,459.29,789.84
INV-0000004,SO-0000009,CUST-000068,PROD-000693,Mid-Market,30888.02,2024-01-03,2024-02-02,192.68,192.68,0.0,Paid,166.9,20.71,36.74
INV-0000004,SO-0000009,CUST-000068,PROD-000923,Mid-Market,30888.02,2024-01-03,2024-02-02,192.68,192.68,0.0,Paid,166.9,20.71,3.91
INV-0000005,SO-0000012,CUST-000088,PROD-000534,Enterprise,464814.38,2024-01-05,2024-02-19,165.83,165.83,0.0,Paid,141.48,37.87,25.24
INV-0000005,SO-0000012,CUST-000088,PROD-001125,Enterprise,464814.38,2024-01-05,2024-02-19,165.83,165.83,0.0,Paid,141.48,37.87,68.55
INV-0000005,SO-0000012,CUST-000088,PROD-000444,Enterprise,464814.38,2024-01-05,2024-02-19,165.83,165.83,0.0,Paid,141.48,37.87,4.92
INV-0000006,SO-0000013,CUST-000089,PROD-001166,Enterprise,201497.87,2024-01-05,2024-01-20,168.42,168.42,0.0,Paid,154.67,23.83,35.7
INV-0000007,SO-0000014,CUST-000089,PROD-000751,Enterprise,201497.87,2024-01-02,2024-01-17,547.03,547.03,0.0,Paid,547.03,135.05,170.52
INV-0000008,SO-0000016,CUST-000111,PROD-000383,Enterprise,461365.84,2024-01-05,2024-02-19,1340.15,1340.15,0.0,Paid,1340.15,45.36,567.58
INV-0000008,SO-0000016,CUST-000111,PROD-000578,Enterprise,461365.84,2024-01-05,2024-02-19,1340.15,1340.15,0.0,Paid,1340.15,45.36,83.45
INV-0000009,SO-0000019,CUST-000142,PROD-000834,Mid-Market,72688.53,2024-01-02,2024-02-01,391.87,391.87,0.0,Paid,377.42,26.76,57.74
INV-0000010,SO-0000021,CUST-000144,PROD-001124,Mid-Market,15595.81,2024-01-02,2024-02-16,3542.67,3542.67,0.0,Paid,3220.61,236.83,576.24
INV-0000011,SO-0000024,CUST-000202,PROD-000978,Small Business,5939.23,2024-01-07,2024-02-06,204.12,204.12,0.0,Paid,190.72,2.9,1.88
INV-0000011,SO-0000024,CUST-000202,PROD-000946,Small Business,5939.23,2024-01-07,2024-02-06,204.12,204.12,0.0,Paid,190.72,2.9,88.67
INV-0000011,SO-0000024,CUST-000202,prod-883,Small Business,5939.23,2024-01-07,2024-02-06,204.12,204.12,0.0,Paid,190.72,2.9,14.4
INV-0000012,SO-0000026,CUST-000230,PROD-000610,Enterprise,445650.89,2024-01-07,2024-02-06,2678.99,2678.99,0.0,Paid,2678.99,296.01,297.5
INV-0000013,SO-0000027,CUST-000231,PROD-000690,Mid-Market,31940.02,2024-01-01,2024-02-15,4562.82,4562.82,0.0,Paid,4562.82,406.47,139.57
INV-0000013,SO-0000027,CUST-000231,PROD-000229,Mid-Market,31940.02,2024-01-01,2024-02-15,4562.82,4562.82,0.0,Paid,4562.82,406.47,16.85
INV-0000013,SO-0000027,CUST-000231,PROD-000578,Mid-Market,31940.02,2024-01-01,2024-02-15,4562.82,4562.82,0.0,Paid,4562.82,406.47,83.45
